"Materialnummer","Vorgangsfolge","Anzahl"
377,"0010 -> 0020",2
377,"0010 -> 0020 -> 0030 -> 0040",1
378,"0010 -> 0020",3
378,"0010 -> 0020 -> 0030 -> 0040",1
379,"0010 -> 0020",3
379,"0010 -> 0020 -> 0030 -> 0040",3
380,"0010",21
381,"0010",37
382,"0010",120
383,"0010",4
384,"0010",7
385,"0010",3
386,"0010",4
387,"0010 -> 0020",13
387,"0010",1
388,"0010 -> 0020",2
389,"0010 -> 0020",2
390,"0010 -> 0020",2
391,"0010 -> 0020",2
392,"0010 -> 0020",3
393,"0010 -> 0020",11
394,"0010 -> 0020",2
395,"0010 -> 0020",2
396,"0010 -> 0020",1
397,"0010 -> 0020",5
397,"0020",1
398,"0010 -> 0020",3
399,"0010 -> 0020",9
399,"0010",1
400,"0010",1
400,"0010 -> 0020",1
401,"0010 -> 0020",2
402,"0010 -> 0020",17
402,"0010",6
403,"0010 -> 0020",1
404,"0010 -> 0020",1
405,"0010 -> 0020",7
406,"0010 -> 0020",14
406,"0010",1
407,"0010 -> 0020",1
408,"0010 -> 0020",19
408,"0010",1
409,"0010 -> 0020",4
410,"0010 -> 0020",2
410,"0010",1
411,"0010 -> 0020",8
411,"0010",1
412,"0010 -> 0020",4
413,"0010 -> 0020",6
413,"0010",1
414,"0010 -> 0020",5
415,"0010 -> 0020",2
416,"0010 -> 0020",11
416,"0010",1
417,"0010 -> 0020",18
418,"0010 -> 0020",37
419,"0010",28
420,"0010",47
421,"0010 -> 0020 -> 0030",5
421,"0020 -> 0030",2
422,"0010 -> 0020",5
423,"0010 -> 0020",2
424,"0010 -> 0020",2
425,"0010 -> 0020",3
426,"0010 -> 0020 -> 0030",5
426,"0020 -> 0030",1
427,"0010 -> 0020",1
428,"0010 -> 0020 -> 0030",5
429,"0010 -> 0020",2
430,"0010 -> 0020",2
431,"0010 -> 0020",4
431,"0010",1
432,"0010 -> 0020",2
433,"0010 -> 0020",4
434,"0010 -> 0020",11
435,"0010 -> 0020",1
436,"0010",5
437,"0010 -> 0020",3
438,"0010 -> 0020",17
439,"0010",6
440,"0010 -> 0020",4
441,"0010 -> 0020",41
441,"0010",1
442,"0010",17
443,"0010 -> 0020",5
444,"0010 -> 0020",35
444,"0010",1
445,"0010",10
446,"0010 -> 0020",18
447,"0010 -> 0020",43
448,"0010",4
449,"0010",14
450,"0010 -> 0020",4
451,"0010 -> 0020",9
452,"0010 -> 0020",9
453,"0010 -> 0020",60
453,"0020",1
454,"0010",4
